time_s,MassTrsf.Gas_comps,MassTrsf.Cell_centers,value
8.0,1.0,0.5625,1.0000000000000002
8.0,1.0,0.6875,0.9999999999999999
8.0,1.0,0.8125,1.0
8.0,1.0,0.9375,0.9999999999999999
8.0,1.0,1.0625,1.0000000000000002
8.0,1.0,1.1875,1.0
8.0,1.0,1.3125,0.9999999999999993
8.0,1.0,1.4375,0.9999999999999999
8.0,1.0,1.5625,0.9999999999999998
8.0,1.0,1.6875,1.0
8.0,1.0,1.8125,1.0000000000000002
8.0,1.0,1.9375,1.0000000000000002
8.0,1.0,2.0625,1.0000000000000002
8.0,1.0,2.1875,1.0
8.0,1.0,2.3125,1.0000000000000002
8.0,1.0,2.4375,0.9999999999999997
8.0,2.0,0.0625,-4.486752360901876e-23
8.0,2.0,0.1875,-2.2962143432684478e-23
8.0,2.0,0.3125,5.39842610734753e-23
8.0,2.0,0.4375,-8.503814416942755e-23
8.0,2.0,0.5625,1.9108421149081866e-23
8.0,2.0,0.6875,1.6557543845369692e-22
8.0,2.0,0.8125,3.887856632388894e-22
8.0,2.0,0.9375,-8.264976107414575e-24
8.0,2.0,1.0625,-5.202111162718183e-22
8.0,2.0,1.1875,-1.5950498830251921e-22
8.0,2.0,1.3125,4.169184264926587e-22
8.0,2.0,1.4375,4.044848331119051e-22
8.0,2.0,1.5625,3.680893357085962e-22
8.0,2.0,1.6875,6.475085854642187e-22
8.0,2.0,1.8125,8.920803556030852e-22
8.0,2.0,1.9375,8.192143598778149e-22
8.0,2.0,2.0625,7.172692302219297e-22
8.0,2.0,2.1875,2.738900277553371e-22
8.0,2.0,2.3125,-2.42910442770122e-22
8.0,2.0,2.4375,-3.280756602236018e-22
8.0,3.0,0.0625,3.179228545549109e-24
8.0,3.0,0.1875,9.351727703210956e-24
8.0,3.0,0.3125,9.042034183321088e-24
8.0,3.0,0.4375,-1.6524965455606282e-24
8.0,3.0,0.5625,-1.613639181864191e-23
8.0,3.0,0.6875,-1.7339925964430502e-23
8.0,3.0,0.8125,3.93321216017462e-24
8.0,3.0,0.9375,2.594229502652873e-23
8.0,3.0,1.0625,2.338865326338844e-23
8.0,3.0,1.1875,1.2227626185115752e-23
8.0,3.0,1.3125,-7.88333558835606e-24
